               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.029388,            0.012885,            0.019374,             0.10091,                   1,             0.29216,             0.15764,            0.010789,           0.0048234,            0.026221,             0.00505,             0.00505,             0.00505
                  52,            0.028944,            0.012112,            0.016513,            0.086059,                0.96,             0.26216,               0.119,            0.012838,           0.0048755,            0.026026,            0.004951,            0.004951,            0.004951
                  53,            0.034826,            0.014251,            0.023309,            0.091346,                0.96,             0.27679,             0.14642,            0.010486,           0.0048606,            0.025691,            0.004852,            0.004852,            0.004852
                  54,            0.036855,            0.014946,            0.023287,             0.12871,              0.6236,             0.27239,             0.13394,            0.013022,           0.0047494,            0.026772,            0.004753,            0.004753,            0.004753
                  55,            0.036612,            0.013967,            0.032261,            0.069712,                0.96,             0.25994,             0.14202,            0.011261,           0.0051257,            0.027164,            0.004654,            0.004654,            0.004654
                  56,            0.042269,            0.014218,            0.022527,            0.078555,                0.96,             0.24722,             0.12572,            0.011867,           0.0052376,            0.026756,            0.004555,            0.004555,            0.004555
                  57,            0.023697,            0.013093,            0.019427,            0.081898,                   1,             0.23664,             0.11932,            0.010429,           0.0053839,            0.026676,            0.004456,            0.004456,            0.004456
                  58,             0.02332,            0.014294,            0.017223,            0.083633,                0.96,              0.2273,             0.10416,            0.011354,           0.0053213,            0.026363,            0.004357,            0.004357,            0.004357
                  59,            0.059912,            0.014453,             0.01889,            0.098476,                   1,             0.26894,             0.11948,            0.010737,           0.0050859,            0.025702,            0.004258,            0.004258,            0.004258
                  60,            0.023351,             0.01631,            0.018078,            0.091336,                   1,             0.25544,             0.10539,            0.010922,           0.0049209,            0.025352,            0.004159,            0.004159,            0.004159
                  61,            0.046647,             0.01295,             0.02027,            0.087302,                   1,             0.26712,             0.12835,            0.010969,           0.0048497,            0.025322,             0.00406,             0.00406,             0.00406
                  62,            0.023555,              0.0136,            0.016183,             0.10245,                   1,             0.29809,             0.12346,            0.011368,            0.004902,            0.025105,            0.003961,            0.003961,            0.003961
                  63,            0.023194,            0.014595,            0.016892,            0.097936,                   1,             0.30203,             0.13743,            0.010395,           0.0048402,            0.025448,            0.003862,            0.003862,            0.003862
                  64,            0.027977,            0.014745,            0.023773,             0.10898,                   1,             0.27831,             0.12255,            0.011888,           0.0046821,            0.025446,            0.003763,            0.003763,            0.003763
                  65,            0.027573,            0.014694,            0.021547,             0.11515,             0.63234,             0.30997,             0.15325,            0.010925,            0.004705,            0.025462,            0.003664,            0.003664,            0.003664
                  66,            0.054784,            0.014189,            0.021216,             0.10302,                0.96,             0.29919,             0.13494,            0.011554,           0.0048691,            0.025607,            0.003565,            0.003565,            0.003565
                  67,            0.055024,            0.014458,            0.018091,            0.098256,                0.96,             0.26721,             0.13856,            0.010727,           0.0049909,            0.025984,            0.003466,            0.003466,            0.003466
                  68,            0.038657,            0.014211,            0.016925,             0.10274,                0.96,             0.28719,              0.1247,            0.011711,           0.0050351,              0.0259,            0.003367,            0.003367,            0.003367
                  69,            0.029227,            0.013799,            0.021716,             0.13294,             0.54123,             0.27276,             0.13599,            0.010833,           0.0049831,            0.025779,            0.003268,            0.003268,            0.003268
                  70,            0.024631,            0.012841,            0.013933,              0.1622,               0.523,             0.29021,             0.15128,            0.010388,           0.0049587,            0.025865,            0.003169,            0.003169,            0.003169
                  71,            0.049428,            0.012908,            0.023819,             0.15973,                0.54,             0.29877,             0.15618,            0.010843,           0.0048232,            0.026158,             0.00307,             0.00307,             0.00307
                  72,            0.021234,            0.011463,            0.014675,             0.15538,             0.60441,             0.26727,             0.14084,            0.010229,            0.004924,            0.026388,            0.002971,            0.002971,            0.002971
                  73,            0.030145,            0.013387,             0.02079,              0.1173,                   1,             0.26646,             0.13561,             0.01033,           0.0049464,             0.02669,            0.002872,            0.002872,            0.002872
                  74,            0.021063,            0.013798,            0.011799,              0.1522,                0.86,             0.27656,             0.14426,             0.01091,           0.0049568,            0.026763,            0.002773,            0.002773,            0.002773
                  75,            0.052098,             0.01312,            0.023355,             0.14142,                0.37,             0.27452,             0.12892,            0.010866,           0.0050253,            0.027176,            0.002674,            0.002674,            0.002674
                  76,            0.029278,            0.012566,            0.020997,             0.16262,                0.66,             0.29081,             0.14748,            0.010648,           0.0050167,            0.027629,            0.002575,            0.002575,            0.002575
                  77,            0.037537,            0.012827,            0.016262,             0.12633,                0.41,             0.29045,             0.14687,            0.010292,           0.0050241,            0.027707,            0.002476,            0.002476,            0.002476
                  78,            0.020273,            0.012494,            0.012883,             0.14779,             0.45828,             0.29287,             0.15389,            0.010103,           0.0051561,             0.02819,            0.002377,            0.002377,            0.002377
                  79,            0.021032,            0.013087,            0.014828,             0.10719,                0.91,             0.28674,              0.1414,            0.010144,            0.005151,            0.028878,            0.002278,            0.002278,            0.002278
                  80,            0.020009,            0.013217,              0.0119,             0.11402,                0.96,             0.29402,             0.15039,            0.010232,           0.0050761,            0.029054,            0.002179,            0.002179,            0.002179
                  81,            0.023814,            0.013964,            0.016611,             0.10748,                0.96,             0.29384,              0.1455,            0.010166,           0.0049956,            0.028823,             0.00208,             0.00208,             0.00208
                  82,            0.019592,            0.013237,            0.010984,             0.11106,                0.96,             0.30372,             0.15464,            0.010309,           0.0049172,             0.02859,            0.001981,            0.001981,            0.001981
                  83,            0.033055,            0.011457,            0.020699,             0.11269,                0.96,             0.31453,             0.15487,            0.010153,           0.0048844,            0.028637,            0.001882,            0.001882,            0.001882
                  84,            0.036833,            0.011522,            0.024533,             0.11512,                0.96,              0.3119,             0.16226,           0.0099744,           0.0048423,            0.028762,            0.001783,            0.001783,            0.001783
                  85,            0.038749,            0.012891,             0.02642,             0.16948,                0.37,             0.31595,             0.16206,            0.010238,           0.0048243,            0.028732,            0.001684,            0.001684,            0.001684
                  86,            0.030751,            0.014134,            0.021013,             0.40161,                0.25,              0.3157,             0.16052,             0.01041,           0.0048123,            0.028369,            0.001585,            0.001585,            0.001585
                  87,             0.03676,            0.011301,             0.01275,             0.42089,                0.25,             0.31993,             0.16476,            0.010051,           0.0048288,            0.028262,            0.001486,            0.001486,            0.001486
                  88,            0.020093,            0.013095,            0.011508,             0.42721,             0.24656,             0.32136,             0.16638,            0.010248,           0.0047972,               0.028,            0.001387,            0.001387,            0.001387
                  89,            0.027494,              0.0138,            0.021064,             0.43188,                0.25,             0.31822,              0.1672,            0.010017,           0.0048271,            0.027878,            0.001288,            0.001288,            0.001288
                  90,            0.037493,            0.012312,             0.01817,             0.42292,                0.25,             0.32171,             0.16142,            0.010336,           0.0048629,            0.028064,            0.001189,            0.001189,            0.001189
                  91,            0.017529,            0.013686,            0.010307,             0.40783,                0.25,             0.32217,               0.161,            0.010694,           0.0049021,             0.02803,             0.00109,             0.00109,             0.00109
                  92,            0.019036,            0.012526,            0.013295,             0.40553,                0.25,             0.31982,             0.16009,            0.010471,           0.0049375,            0.028179,            0.000991,            0.000991,            0.000991
                  93,            0.015869,            0.012029,           0.0076971,              0.3984,                0.25,             0.31869,             0.15948,            0.010779,           0.0049949,            0.028137,            0.000892,            0.000892,            0.000892
                  94,            0.039256,            0.012958,            0.013776,             0.42156,                0.25,             0.32216,             0.17201,            0.010414,           0.0050654,            0.028237,            0.000793,            0.000793,            0.000793
                  95,            0.053612,            0.013939,            0.020493,             0.41395,             0.31943,             0.31235,             0.16649,            0.010586,           0.0051122,            0.028182,            0.000694,            0.000694,            0.000694
                  96,            0.023082,            0.011714,            0.023604,             0.41333,             0.32316,             0.32547,             0.17709,            0.010478,           0.0051348,            0.028176,            0.000595,            0.000595,            0.000595
                  97,            0.018406,            0.012078,            0.012486,              0.4019,             0.32504,             0.32241,             0.17656,            0.010443,           0.0051331,            0.028297,            0.000496,            0.000496,            0.000496
                  98,            0.017076,            0.010668,           0.0095961,             0.40703,                0.29,             0.32245,             0.17386,             0.01049,           0.0051457,            0.028317,            0.000397,            0.000397,            0.000397
                  99,            0.022424,            0.012669,            0.011597,             0.41155,                0.29,             0.32291,             0.17327,            0.010514,           0.0051476,            0.028385,            0.000298,            0.000298,            0.000298
